City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,mataura,NZ,-46.1927,168.8643,54.48,64,28,11.86,scattered clouds,0.0,0
1,albany,US,42.6001,-73.9662,66.92,70,85,3.44,overcast clouds,0.0,0
2,thoen,TH,17.6129,99.2161,86.74,67,100,3.31,overcast clouds,0.0,0
3,hobart,AU,-42.8794,147.3294,57.25,69,20,9.22,few clouds,0.0,0
4,butaritari,KI,3.0707,172.7902,82.45,76,8,21.47,light rain,0.37,0
5,mandera,KE,3.9366,41.867,73.2,67,43,14.83,scattered clouds,0.0,0
6,kokopo,PG,-4.352,152.2633,84.67,66,100,3.67,overcast clouds,0.0,0
7,kapaa,US,22.0752,-159.319,84.18,79,65,5.99,broken clouds,0.0,0
8,srednekolymsk,RU,67.45,153.6833,79.56,33,100,13.2,overcast clouds,0.0,0
9,naze,JP,28.3667,129.4833,80.8,79,41,12.17,scattered clouds,0.0,0
10,eregli,TR,37.5133,34.0467,60.8,60,0,5.12,clear sky,0.0,0
11,busselton,AU,-33.65,115.3333,56.62,77,100,10.04,overcast clouds,0.0,0
12,rikitea,PF,-23.1203,-134.9692,75.16,73,4,8.43,clear sky,0.0,0
13,chuy,UY,-33.6971,-53.4616,55.38,98,89,6.62,overcast clouds,0.0,0
14,taoudenni,ML,22.6783,-3.9836,95.47,10,0,1.99,clear sky,0.0,0
15,suez,EG,29.9737,32.5263,77.94,57,0,6.46,clear sky,0.0,0
16,isangel,VU,-19.55,169.2667,78.82,71,13,13.13,few clouds,0.0,0
17,severo-kurilsk,RU,50.6789,156.125,55.53,78,89,10.2,overcast clouds,0.0,0
18,jumla,NP,29.2747,82.1838,73.38,74,55,3.74,broken clouds,0.0,0
19,beringovskiy,RU,63.05,179.3167,44.78,97,100,3.62,overcast clouds,0.0,0
20,fernie,CA,49.5,-115.0687,56.43,91,30,3.44,scattered clouds,0.0,0
21,saryozek,KZ,44.3583,77.9753,59.67,82,100,13.04,overcast clouds,0.0,0
22,ushuaia,AR,-54.8,-68.3,33.46,75,0,3.44,clear sky,0.0,0
23,mecca,SA,21.4267,39.8261,83.59,31,66,4.07,broken clouds,0.0,0
24,beisfjord,NO,68.3751,17.5988,64.04,77,74,6.44,broken clouds,0.0,0
25,xacmaz,AZ,41.4635,48.806,76.64,36,0,6.91,clear sky,0.0,0
26,port alfred,ZA,-33.5906,26.891,57.18,93,68,7.0,broken clouds,0.0,0
27,tuktoyaktuk,CA,69.4541,-133.0374,60.35,61,41,3.94,light rain,0.17,0
28,chokurdakh,RU,70.6333,147.9167,71.83,54,100,12.19,overcast clouds,0.0,0
29,ilulissat,GL,69.2167,-51.1,44.62,70,11,3.44,few clouds,0.0,0
30,yulara,AU,-25.2406,130.9889,55.96,28,0,11.1,clear sky,0.0,0
31,portland,US,45.5234,-122.6762,76.55,51,0,6.91,clear sky,0.0,0
32,mahebourg,MU,-20.4081,57.7,68.25,71,96,18.19,overcast clouds,0.0,0
33,luderitz,NA,-26.6481,15.1594,52.54,85,0,6.35,clear sky,0.0,0
34,charagua,BO,-19.8,-63.2167,66.33,70,88,3.36,overcast clouds,0.0,0
35,rawson,AR,-43.3002,-65.1023,49.37,46,94,26.82,overcast clouds,0.0,0
36,nadym,RU,65.5333,72.5167,49.24,73,100,8.93,overcast clouds,0.0,0
37,port blair,IN,11.6667,92.75,77.04,88,100,10.36,light rain,1.0,0
38,vardo,NO,70.3705,31.1107,48.18,93,100,8.05,overcast clouds,0.0,0
39,waverly,US,42.7392,-84.6208,80.53,63,100,9.22,overcast clouds,0.0,0
40,kiruna,SE,67.8557,20.2251,54.52,88,75,3.44,broken clouds,0.0,0
41,komsomolskiy,UZ,40.4272,71.7189,79.52,14,1,25.32,clear sky,0.0,0
42,alencon,FR,48.4333,0.0833,47.93,96,3,4.63,clear sky,0.0,0
43,wageningen,NL,51.9667,5.6667,57.11,93,100,1.14,overcast clouds,0.0,0
44,hami,CN,42.8,93.45,92.35,10,3,7.56,clear sky,0.0,0
45,nosy varika,MG,-20.5833,48.5333,68.2,84,100,2.59,light rain,0.39,0
46,cape town,ZA,-33.9258,18.4232,55.9,76,0,11.99,clear sky,0.0,0
47,kavieng,PG,-2.5744,150.7967,83.82,76,100,12.41,light rain,0.39,0
48,esperance,AU,-33.8667,121.9,60.64,36,0,23.0,clear sky,0.0,0
49,tiksi,RU,71.6872,128.8694,38.39,89,100,22.84,overcast clouds,0.0,0
50,klaksvik,FO,62.2266,-6.589,47.32,76,72,16.78,broken clouds,0.0,0
51,port lincoln,AU,-34.7333,135.8667,56.07,69,1,11.03,clear sky,0.0,0
52,chicama,PE,-7.8447,-79.1469,59.54,83,15,5.21,few clouds,0.0,0
53,taltal,CL,-25.4,-70.4833,60.24,62,40,5.41,scattered clouds,0.0,0
54,olafsvik,IS,64.8945,-23.7142,48.65,75,88,2.73,overcast clouds,0.0,0
55,hilo,US,19.7297,-155.09,80.28,85,83,3.0,broken clouds,0.0,0
56,harper,LR,4.375,-7.7169,76.3,80,100,7.92,overcast clouds,0.0,0
57,yellowknife,CA,62.456,-114.3525,64.8,41,6,5.55,clear sky,0.0,0
58,sioux lookout,CA,50.1001,-91.917,59.13,97,100,4.03,moderate rain,2.37,0
59,constitucion,CL,-35.3333,-72.4167,47.75,85,4,1.86,clear sky,0.0,0
60,gladstone,AU,-23.85,151.25,53.53,87,100,9.22,light rain,0.61,0
61,clonmel,IE,52.355,-7.7039,57.42,92,100,5.97,overcast clouds,0.0,0
62,xai-xai,MZ,-25.0519,33.6442,61.05,92,0,2.71,clear sky,0.0,0
63,san ignacio,BZ,17.1561,-89.0714,77.14,94,0,0.0,clear sky,0.0,0
64,east london,ZA,-33.0153,27.9116,59.54,80,22,6.4,few clouds,0.0,0
65,hithadhoo,MV,-0.6,73.0833,82.0,72,56,3.11,broken clouds,0.0,0
66,okhotsk,RU,59.3833,143.3,60.75,76,23,13.27,few clouds,0.0,0
67,salcia tudor,RO,45.3667,27.5167,68.14,47,13,2.77,few clouds,0.0,0
68,nuuk,GL,64.1835,-51.7216,47.01,93,75,12.66,light rain,0.0,0
69,staritsa,RU,56.5075,34.9354,62.85,85,87,3.96,overcast clouds,0.0,0
70,westport,US,41.1415,-73.3579,73.09,64,64,4.0,broken clouds,0.0,0
71,port elizabeth,ZA,-33.918,25.5701,53.31,99,71,1.99,broken clouds,0.0,0
72,chernyshevskiy,RU,63.0128,112.4714,70.95,44,100,2.55,overcast clouds,0.0,0
73,hermanus,ZA,-34.4187,19.2345,50.77,77,0,6.17,clear sky,0.0,0
74,dikson,RU,73.5069,80.5464,35.22,98,100,2.95,overcast clouds,0.0,0
75,celestun,MX,20.8667,-90.4,80.82,80,74,14.72,broken clouds,0.0,0
76,saskylakh,RU,71.9167,114.0833,53.51,49,91,5.26,overcast clouds,0.0,0
77,yar-sale,RU,66.8333,70.8333,48.81,86,100,15.99,overcast clouds,0.0,0
78,samarai,PG,-10.6167,150.6667,83.7,73,31,12.59,scattered clouds,0.0,0
79,faya,SA,18.3851,42.4509,63.12,45,4,6.67,clear sky,0.0,0
80,upernavik,GL,72.7868,-56.1549,37.78,88,0,12.01,clear sky,0.0,0
81,thompson,CA,55.7435,-97.8558,58.12,47,79,3.87,broken clouds,0.0,0
82,punta arenas,CL,-53.15,-70.9167,33.91,80,100,4.12,overcast clouds,0.0,0
83,ostrovnoy,RU,68.0531,39.5131,52.05,94,95,4.45,overcast clouds,0.0,0
84,lorengau,PG,-2.0226,147.2712,85.3,68,79,6.31,broken clouds,0.0,0
85,umm lajj,SA,25.0213,37.2685,83.35,58,39,3.49,scattered clouds,0.0,0
86,lisakovsk,KZ,52.5369,62.4936,51.42,82,100,15.68,overcast clouds,0.0,0
